task_id,category,k,pivot_ground_truth,decoy_pivot,full_context_chars,compressed_context_chars
A01,incident,3,A01-E065,A01-E076,30909,15383
A02,incident,3,A02-E062,A02-E072,30898,15381
A03,incident,3,A03-E058,A03-E067,30967,15391
A04,incident,3,A04-E063,A04-E071,30851,14985
B01,investment,3,B01-E051,B01-E060,30233,15283
B02,investment,3,B02-E061,B02-E073,30295,14836
B03,investment,3,B03-E060,B03-E068,30244,14978
B04,investment,3,B04-E059,B04-E069,30443,15043
C01,narrative,3,C01-E052,C01-E065,28510,14141
C02,narrative,3,C02-E054,C02-E062,28417,14067
C03,narrative,3,C03-E060,C03-E068,28399,14064
C04,narrative,3,C04-E052,C04-E065,28286,13895
