incident_id,title,n_events,n_setup,n_development,n_turning_point,n_resolution,pivot_id,pivot_t,k_recommended,dev_before_pivot,k_violation,competing_pivot_count,issue_count
NTSB_AERO_STALL,Embraer EMB-500 — Aerodynamic Stall on Approach at Gaithersburg,8,2,2,1,3,e05,5,3,2,True,3,0
NTSB_AMERISTAR9363,Ameristar Air Cargo Flight 9363 — Runway Overrun During Rejected Takeoff,10,3,3,1,3,e07,7,4,3,True,2,0
NTSB_ATLAS3591,Atlas Air Flight 3591 — Rapid Descent and Crash into Trinity Bay,12,3,5,1,3,e09,9,4,5,False,3,0
NTSB_DELTA1086,Delta Air Lines Flight 1086 — Runway Excursion at LaGuardia,9,2,3,1,3,e06,6,3,3,False,2,0
NTSB_EXECUFLIGHT1526,Execuflight Flight 1526 — Crash During Nonprecision Approach,9,2,4,1,2,e07,7,4,4,False,3,0
NTSB_HAWAII_PARA,Beech King Air 65-A90 — Parachute Jump Flight Crash at Mokuleia,9,2,2,1,4,e05,5,3,2,True,2,0
NTSB_HOTAIRBALLOON,Heart of Texas Hot Air Balloon — Power Line Strike at Lockhart,9,3,2,1,3,e06,6,3,2,True,3,0
NTSB_N72EX,Island Express Helicopters — Calabasas Terrain Impact,12,4,4,1,3,e09,9,4,4,False,3,0
NTSB_PENAIR3296,PenAir Flight 3296 — Runway Overrun During Landing at Unalaska,10,2,4,1,3,e07,7,4,4,False,3,0
NTSB_SWA1380,Southwest Airlines Flight 1380 — Engine Failure and Depressurization,13,2,5,1,5,e08,8,4,5,False,3,0
NTSB_USAir1549,US Airways Flight 1549 — Ditching in Hudson River (Miracle on the Hudson),10,2,1,1,6,e04,4,3,1,True,2,0
TECH_KNIGHT_CAPITAL,Knight Capital Group — Algorithmic Trading System Failure,10,3,3,1,3,e07,7,4,3,True,2,0
